Iteration; Energy; Damage
879;15.050.968;40.000.000
880;14.950.968;40.000.000
881;14.850.967;40.000.000
882;14.750.967;40.000.000
883;14.650.967;40.000.000
884;14.550.966;40.000.000
885;14.450.966;40.000.000
886;14.350.965;40.000.000
887;14.250.965;40.000.000
888;14.150.965;40.000.000
889;14.050.964;40.000.000
890;13.950.964;40.000.000
891;13.850.964;40.000.000
892;13.750.963;40.000.000
893;13.650.963;40.000.000
894;13.550.962;40.000.000
895;13.450.962;40.000.000
896;13.350.962;40.000.000
897;13.250.961;40.000.000
898;13.150.961;40.000.000
899;13.050.961;40.000.000
900;12.950.960;40.000.000
901;12.850.960;40.000.000
902;12.750.959;40.000.000
903;12.650.959;40.000.000
904;12.550.959;40.000.000
905;12.450.958;40.000.000
906;12.350.958;40.000.000
907;12.250.957;40.000.000
908;12.150.957;40.000.000
909;12.050.957;40.000.000
910;11.950.956;40.000.000
911;11.850.956;40.000.000
912;11.750.956;40.000.000
913;11.650.955;40.000.000
914;11.550.955;40.000.000
915;11.450.954;40.000.000
916;11.350.954;40.000.000
917;11.250.954;40.000.000
918;11.150.953;40.000.000
919;11.050.953;40.000.000
920;10.950.953;40.000.000
921;10.850.952;40.000.000
922;10.750.952;40.000.000
923;10.650.951;40.000.000
924;10.550.951;40.000.000
925;10.450.951;40.000.000
926;10.350.950;40.000.000
927;10.250.950;40.000.000
928;10.150.949;40.000.000
929;10.050.949;40.000.000
930;9.950.949;40.000.000
931;9.850.948;40.000.000
932;9.750.948;40.000.000
933;9.650.948;40.000.000
934;9.550.947;40.000.000
935;9.450.947;40.000.000
936;9.350.946;40.000.000
937;9.250.946;40.000.000
938;9.150.946;40.000.000
939;9.050.945;40.000.000
940;8.950.945;40.000.000
941;8.850.945;40.000.000
942;8.750.944;40.000.000
943;8.650.944;40.000.000
944;8.550.943;40.000.000
945;8.450.943;40.000.000
946;8.350.943;40.000.000
947;8.250.942;40.000.000
948;8.150.942;40.000.000
949;9.150.942;40.000.000
950;10.150.942;40.000.000
951;11.150.942;40.000.000
952;11.050.941;40.000.000
953;12.050.941;40.000.000
954;13.050.941;40.000.000
955;14.050.941;40.000.000
956;15.050.941;40.000.000
957;16.050.941;40.000.000
958;17.050.941;40.000.000
959;18.050.941;40.000.000
960;19.050.941;40.000.000
961;20.050.941;40.000.000
962;21.050.941;40.000.000
963;22.050.941;40.000.000
964;23.050.941;40.000.000
965;24.050.941;40.000.000
966;25.050.941;40.000.000
967;26.050.941;40.000.000
968;27.050.941;40.000.000
969;28.050.941;40.000.000
970;29.050.941;40.000.000
971;30.050.941;40.000.000
972;31.050.941;40.000.000
973;32.050.941;40.000.000
974;33.050.941;40.000.000
975;34.050.941;40.000.000
976;35.050.941;40.000.000
977;36.050.941;40.000.000
978;37.050.941;40.000.000
979;38.050.941;40.000.000
980;39.050.941;40.000.000
981;40.050.941;40.000.000
982;41.050.941;40.000.000
983;42.050.941;40.000.000
984;43.050.941;40.000.000
985;44.050.941;40.000.000
986;45.050.941;40.000.000
987;46.050.941;40.000.000
988;47.050.941;40.000.000
989;48.050.941;40.000.000
990;49.050.941;40.000.000
991;50.050.941;40.000.000
